,query,embedding_output,C1_RT_1,C1_RT_submit,img_name,n_reference,n_select,is_ranked
87,justin-trudeau,"['justin-trudeau', 'jay-z', 'taylor-swift']",324.0,892.0,justin-trudeau,2,1,True
88,michael-jackson,"['michael-jackson', 'jake-gyllenhaal', 'cersei']",330.0,885.0,michael-jackson,2,1,True
89,donald-trump,"['donald-trump', 'justin-timberlake', 'will-smith']",366.0,1055.0,donald-trump,2,1,True
90,steve-carrell,"['steve-carrell', 'taylor-swift', 'kanye-west']",336.0,934.0,steve-carrell,2,1,True
91,rihanna,"['rihanna', 'selena-gomez', 'angelina-jolie']",364.0,1083.0,rihanna,2,1,True
92,justin-timberlake,"['justin-timberlake', 'reese-witherspoon', 'ryan-gosling']",499.0,1127.0,justin-timberlake,2,1,True
93,post-malone,"['post-malone', 'emma-watson', 'lady-gaga']",364.0,1310.0,post-malone,2,1,True
94,shawn-mendes,"['shawn-mendes', 'ariana-grande', 'cersei']",846.0,1727.0,shawn-mendes,2,1,True
95,barack-obama,"['barack-obama', 'billie-eilish', 'robert-downey-jr']",346.0,901.0,barack-obama,2,1,True
96,leonardo-dicaprio,"['leonardo-dicaprio', 'jennifer-lawrence', 'ariana-grande']",299.0,760.0,leonardo-dicaprio,2,1,True
97,miley-cyrus,"['miley-cyrus', 'eminem', 'jake-gyllenhaal']",637.0,1268.0,miley-cyrus,2,1,True
98,brad-pitt,"['brad-pitt', 'chris-pratt', 'meghan-markle']",510.0,1036.0,brad-pitt,2,1,True
99,jake-gyllenhaal,"['jake-gyllenhaal', 'emma-stone', 'zendaya']",256.0,797.0,jake-gyllenhaal,2,1,True
100,beyonce,"['beyonce', 'seth-rogan', 'billie-eilish']",267.0,927.0,beyonce,2,1,True
101,chris-pratt,"['chris-pratt', 'taylor-swift', 'jennifer-lawrence']",302.0,902.0,chris-pratt,2,1,True
102,angelina-jolie,"['angelina-jolie', 'billie-eilish', 'barack-obama']",242.0,855.0,angelina-jolie,2,1,True
103,donald-glover,"['donald-glover', 'meghan-markle', 'reese-witherspoon']",227.0,840.0,donald-glover,2,1,True
104,jennifer-lawrence,"['jennifer-lawrence', 'jay-z', 'michael-jackson']",242.0,781.0,jennifer-lawrence,2,1,True
105,lady-gaga,"['lady-gaga', 'zendaya', 'drake']",254.0,810.0,lady-gaga,2,1,True
106,billie-eilish,"['billie-eilish', 'selena-gomez', 'rihanna']",184.0,725.0,billie-eilish,2,1,True
107,emma-watson,"['emma-watson', 'seth-rogan', 'leonardo-dicaprio']",479.0,987.0,emma-watson,2,1,True
108,robert-downey-jr,"['robert-downey-jr', 'beyonce', 'drake']",286.0,933.0,robert-downey-jr,2,1,True
109,selena-gomez,"['selena-gomez', 'ariana-grande', 'miley-cyrus']",291.0,903.0,selena-gomez,2,1,True
110,ryan-reynolds,"['ryan-reynolds', 'melania-trump', 'miley-cyrus']",338.0,968.0,ryan-reynolds,2,1,True
111,meghan-markle,"['meghan-markle', 'billie-eilish', 'jennifer-lawrence']",470.0,1368.0,meghan-markle,2,1,True
112,taylor-swift,"['taylor-swift', 'kanye-west', 'leonardo-dicaprio']",297.0,1049.0,taylor-swift,2,1,True
113,eminem,"['eminem', 'leonardo-dicaprio', 'barack-obama']",251.0,806.0,eminem,2,1,True
114,kanye-west,"['kanye-west', 'robert-downey-jr', 'kim-kardashian']",686.0,1316.0,kanye-west,2,1,True
115,dwayne-johnson,"['dwayne-johnson', 'reese-witherspoon', 'ariana-grande']",710.0,1383.0,dwayne-johnson,2,1,True
116,jay-z,"['jay-z', 'leonardo-dicaprio', 'donald-trump']",381.0,1101.0,jay-z,2,1,True
117,seth-rogan,"['seth-rogan', 'brad-pitt', 'jennifer-lawrence']",317.0,812.0,seth-rogan,2,1,True
118,kristen-stewart,"['kristen-stewart', 'lady-gaga', 'eminem']",497.0,1022.0,kristen-stewart,2,1,True
119,kim-kardashian,"['kim-kardashian', 'post-malone', 'leonardo-dicaprio']",243.0,739.0,kim-kardashian,2,1,True
120,ariana-grande,"['ariana-grande', 'shawn-mendes', 'post-malone']",315.0,810.0,ariana-grande,2,1,True
