,query,embedding_output,C1_RT_1,C1_RT_submit,img_name,n_reference,n_select,is_ranked
263,jennifer-aniston,"['jennifer-aniston', 'kim-kardashian', 'nicki-minaj']",287.0,1127.0,jennifer-aniston,2,1,True
264,justin-bieber,"['justin-bieber', 'will-smith', 'chris-pratt']",291.0,937.0,justin-bieber,2,1,True
265,cersei,"['cersei', 'angelina-jolie', 'billie-eilish']",268.0,823.0,cersei,2,1,True
266,melania-trump,"['melania-trump', 'kanye-west', 'beyonce']",291.0,875.0,melania-trump,2,1,True
267,bradley-cooper,"['bradley-cooper', 'brad-pitt', 'kristen-stewart']",271.0,781.0,bradley-cooper,2,1,True
268,ryan-gosling,"['ryan-gosling', 'seth-rogan', 'angelina-jolie']",271.0,873.0,ryan-gosling,2,1,True
269,will-smith,"['will-smith', 'jennifer-aniston', 'justin-trudeau']",358.0,930.0,will-smith,2,1,True
270,zendaya,"['zendaya', 'rihanna', 'jake-gyllenhaal']",497.0,1020.0,zendaya,2,1,True
271,reese-witherspoon,"['reese-witherspoon', 'miley-cyrus', 'taylor-swift']",255.0,796.0,reese-witherspoon,2,1,True
272,drake,"['drake', 'emma-watson', 'justin-timberlake']",287.0,827.0,drake,2,1,True
273,jennifer-lopez,"['jennifer-lopez', 'ryan-gosling', 'billie-eilish']",298.0,946.0,jennifer-lopez,2,1,True
274,nicki-minaj,"['nicki-minaj', 'ryan-reynolds', 'angelina-jolie']",304.0,828.0,nicki-minaj,2,1,True
275,justin-trudeau,"['justin-trudeau', 'jay-z', 'taylor-swift']",324.0,892.0,justin-trudeau,2,1,True
276,michael-jackson,"['michael-jackson', 'jake-gyllenhaal', 'cersei']",330.0,885.0,michael-jackson,2,1,True
277,donald-trump,"['donald-trump', 'justin-timberlake', 'will-smith']",366.0,1055.0,donald-trump,2,1,True
278,steve-carrell,"['steve-carrell', 'taylor-swift', 'kanye-west']",336.0,934.0,steve-carrell,2,1,True
279,rihanna,"['rihanna', 'selena-gomez', 'angelina-jolie']",364.0,1083.0,rihanna,2,1,True
280,justin-timberlake,"['justin-timberlake', 'reese-witherspoon', 'ryan-gosling']",499.0,1127.0,justin-timberlake,2,1,True
281,post-malone,"['post-malone', 'emma-watson', 'lady-gaga']",364.0,1310.0,post-malone,2,1,True
